2026-03-28 09:14:03,754 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:14:05,795 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:14:07,844 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:15:01,563 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:15:03,659 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:15:05,732 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 09:15:07,803 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,715 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,722 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,726 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,736 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,741 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,744 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,751 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,755 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,760 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,766 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,771 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,775 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,780 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,788 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,792 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,796 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,800 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,803 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,807 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,813 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,816 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,821 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,827 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,830 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,891 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,894 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,899 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,904 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,908 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,913 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,918 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,922 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,927 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,931 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,935 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,939 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,949 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,953 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,957 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,962 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,965 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,968 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,973 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,977 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,983 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,989 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,993 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:24,997 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,001 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,005 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,008 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,017 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,021 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,024 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,028 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
